Model,ESM,SSP,Transition,carbon_density_ESM,LastYear
jules,mpi-esm1-2-hr,ssp126,agtoaff,-0.306,2100
jules,mpi-esm1-2-hr,ssp126,nattoaff,-9.973,2100
jules,mpi-esm1-2-hr,ssp126,agtonat,-0.31,2100
jules,ukesm1-0-ll,ssp126,agtoaff,-0.291,2100
jules,ukesm1-0-ll,ssp126,nattoaff,-10.308,2100
jules,ukesm1-0-ll,ssp126,agtonat,-0.298,2100
jules,ipsl-cm6a-lr,ssp126,agtoaff,-0.287,2100
jules,ipsl-cm6a-lr,ssp126,nattoaff,-10.084,2100
jules,ipsl-cm6a-lr,ssp126,agtonat,-0.29,2100
jsbach,mpi-esm1-2-hr,ssp126,agtoaff,21.116,2099
jsbach,ukesm1-0-ll,ssp126,agtoaff,20.579,2099
jsbach,ipsl-cm6a-lr,ssp126,agtoaff,20.301,2099
clm,mpi-esm1-2-hr,ssp126,agtoaff,70.577,2100
clm,mpi-esm1-2-hr,ssp126,nattoaff,80.236,2100
clm,mpi-esm1-2-hr,ssp126,agtonat,22.306,2100
clm,ukesm1-0-ll,ssp126,agtoaff,68.168,2100
clm,ukesm1-0-ll,ssp126,nattoaff,81.051,2100
clm,ukesm1-0-ll,ssp126,agtonat,21.379,2100
clm,ipsl-cm6a-lr,ssp126,agtoaff,69.193,2100
clm,ipsl-cm6a-lr,ssp126,nattoaff,79.699,2100
clm,ipsl-cm6a-lr,ssp126,agtonat,21.961,2100
orchidee,mpi-esm1-2-hr,ssp126,agtoaff,9.912,2100
orchidee,mpi-esm1-2-hr,ssp126,nattoaff,15.102,2100
orchidee,ukesm1-0-ll,ssp126,agtoaff,10.537,2100
orchidee,ukesm1-0-ll,ssp126,nattoaff,16.032,2100
orchidee,ipsl-cm6a-lr,ssp126,agtoaff,10.553,2100
orchidee,ipsl-cm6a-lr,ssp126,nattoaff,16.053,2100